String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
draw,4,58.7194,6,14.43,9096.59,136.25,199.34,18.67,71.78,3.5,220853.25,26840.75,7659.32,2080,532.64,132.5,d.r0.O,4,3,40.4118,40.4118,real
hero,4,31.2932,6,138.14,12968.44,179.25,2803.22,20.33,445.72,4,333004.12,37135.5,68055.67,5816.67,8738.11,458.5,h.ir.r0.oU,4,4,49.8431,49.8431,real
bunk,4,5.7113,14,13.75,7684.46,201,328.66,31.33,20.35,6,125515.75,18260.5,7844.34,1323,165.93,87.5,b.V.N.k,4,4,6.2745,6.2745,real
cart,4,9.39986,16,53.81,19028.01,278,1672.78,40,411.96,7,283376.99,35523.25,19596.87,3245,2808.77,433,k.Ar.t,4,3,9.0392,9.0392,real
talk,4,247.549,10,29.86,20145.34,248,1226.38,26.33,351.84,4.5,243786.15,28632.5,15771.05,2726.67,1542.14,263.5,t.O.k,4,3,855,855,real
tape,4,21.5364,12,74.7,24708.26,272.25,613.93,21.67,40.96,4,343457.82,39951.5,11809.43,2448.33,496.91,122,t.eI.p,4,3,68.8431,68.8431,real
maze,4,7.25812,13,155.03,19001.06,251.5,1253.31,21.67,22.1,4,252167.52,30555.25,6073.2,1286,102.89,38.5,m.eI.z,4,3,2.549,2.549,real
boat,4,55.6257,10,15.25,20969.76,282.5,5651.16,31.33,91.32,3.5,290849.56,31002.75,18307.88,3152,350.26,167,b.oU.t,4,3,95.7843,95.7843,real
diet,4,57.8865,5,32.61,20105.21,233,436.5,18.33,128.44,2,346328.36,42817,12338.8,3128.33,879.72,159.5,d.aI.5.t,4,4,15.3725,15.3725,real
gaps,4,7.55558,16,1.89,11220.04,294.25,302.04,29.67,21.89,6,202024.23,31418.25,4294.52,1084.33,329.29,67.5,g.1.p.s,4,4,0.68627,0.68627,real
sake,4,53.008,17,150.75,20182.87,282.5,3302.03,22.67,911.7,5.5,299482.43,40326,8034.95,1102.67,1539.38,151,s.eI.k,4,3,64.1569,64.1569,real
back,4,1235.84,16,22.16,12493.28,226.75,2378.72,36.33,1335.52,5.5,148964.86,20045.75,8339.06,1853,2228.36,387,b.1.k,4,3,2009.157,2009.1569,real
beat,4,54.7928,19,46.13,20418.12,245.5,7349.44,40.33,258.44,7.5,340389.61,38543.25,30619.63,3859.67,2132.58,265.5,b.i.t,4,3,131.6863,131.6863,real
chip,4,6.12775,10,11.79,12366.35,123.25,1664.82,17.67,51.49,4.5,186336.48,24910.75,16576.43,1860,1632.93,390.5,tS.I.p,4,3,20.6078,20.6078,real
nail,4,12.1365,11,16.11,12199.66,207.5,1627.47,23,100.72,6.5,285991,39627.75,11777.17,2066.33,605.13,171,n.eI.l,4,3,18.6471,18.6471,real
pine,4,12.553,21,35,17728.35,270,1483.06,40.67,351.13,9,298001.67,41745.25,35628.48,6281,2560.72,832,p.aI.n,4,3,6.1961,6.1961,real
move,4,183.238,13,216.76,19799.56,251.5,3677.7,21,369.72,4.5,247065.8,29291.75,15491.26,1801,3068.73,354,m.u.v,4,3,418.1373,418.1373,real
hive,4,2.02275,11,505.66,18849.88,210.5,2681.38,16,492.57,4,278137.1,32474,21895.16,2118.67,2766.35,484.5,h.aI.v,4,3,0.98039,0.98039,real
lawn,4,21.8338,7,15.26,13839.31,205.5,1100.36,25,71.99,4,232714.48,28765,6787.57,1395.67,258.82,46,l.O.n,4,3,12.3529,12.3529,real
envy,4,20.168,0,0,7257.24,61,43.91,3,20.17,1,232221.19,29266.25,15508.51,2145,113.81,22.5,E.n.v.i,4,4,9.549,9.549,real
pile,4,27.3072,15,13.87,18356.75,263.25,1395.11,35.67,73.47,5.5,268831.99,39359.75,15196.63,3210.33,1159.75,204,p.aI.l,4,3,13.1765,13.1765,real
club,4,89.8341,2,2.86,2743.66,102.25,181.37,13.33,89.83,1.5,117721.79,20263,3307.12,855.67,410.77,72,k.l.V.b,4,4,98.7843,98.7843,real
neck,4,78.233,5,5.35,9740.16,155.75,1138.19,22.67,90.55,3,238945,32517.5,13879.18,2706,409.25,123,n.E.k,4,3,59.5098,59.5098,real
chop,4,7.43659,9,15.05,12850.76,126.75,369.77,17,50.27,3,190761.48,21141.25,15185.39,1979.67,874.16,159,tS.A.p,4,3,13.6078,13.6078,real
fool,4,37.4804,10,51.54,13942.81,222.75,1932.62,30.67,286.01,4,227781.43,25959.75,12101.13,1559.67,711.03,115.5,f.u.l,4,3,89.3333,89.3333,real
math,4,0.892391,11,14.98,15968.39,202,4082.83,29,69.25,4.5,280348.07,26812,62638.14,4000.67,1919.83,423,m.1.T,4,3,16.3922,16.3922,real
plan,4,100.364,4,69.09,10830.85,163.5,1095.74,21.33,238.54,3,229278.58,31587,28961.3,3490,2541.41,460,p.l.1.n,4,4,145.7255,145.7255,real
