STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
bimore,6,NA,0,0.00,6861.29,542.67,1098.34,46.00,272.31,3.25,260293.46,34979.17,24150.31,3114.20,2035.23,177.75
bimoue,6,NA,0,0.00,6247.19,509.33,465.33,37.20,32.33,2.50,239460.96,31499.50,14114.55,1636.60,236.90,67.25
bittal,6,NA,0,0.00,5339.16,497.50,1190.30,64.20,305.11,8.25,284654.36,34443.17,18801.15,2792.20,1262.87,236.25
bizzy,5,NA,3,2.16,4077.55,287.60,79.38,13.00,5.85,3.33,91449.35,14457.20,1260.35,675.50,18.74,32.00
blath,5,NA,0,0.00,6806.57,348.20,1305.27,51.75,254.53,7.33,251003.22,26488.80,48461.06,3693.50,1777.23,460.33
blmous,6,NA,0,0.00,5192.73,638.33,485.91,34.40,174.39,4.25,173969.98,26225.17,15515.21,1899.40,1336.82,366.75
blonk,5,NA,5,14.71,6813.31,303.60,1248.99,46.50,257.94,6.00,175464.70,23444.20,17658.37,2933.25,956.60,117.00
blwdes,6,NA,1,10.95,7700.41,977.50,1076.30,158.40,23.08,7.00,213348.12,30067.83,13203.23,3612.40,498.77,137.25
boctes,6,NA,1,0.06,10036.13,1161.50,1606.58,199.60,112.11,8.50,280545.03,36516.83,18355.74,4697.60,775.43,311.00
boich,5,NA,1,0.65,10786.81,378.80,2690.51,46.50,1192.83,1.33,211239.81,25464.40,11759.23,2098.75,1380.87,37.00
boing,5,NA,4,503.10,10709.65,380.40,2755.18,53.00,1394.33,10.00,213117.42,29575.80,31812.23,5723.25,10638.55,2423.33
bolict,6,NA,0,0.00,6743.22,606.17,829.46,62.00,216.23,7.75,228953.77,30415.83,13193.03,2743.40,1089.42,246.50
bonges,6,NA,3,0.12,9477.03,1163.17,1337.98,193.80,219.44,26.25,257529.03,35638.83,27979.90,6011.00,1607.61,285.50
bould,5,NA,4,1221.66,11796.67,404.20,5050.39,41.50,3246.07,4.67,168757.35,22583.40,18095.05,1755.00,5010.50,95.33
bouse,5,NA,6,96.08,12356.82,422.00,3506.55,56.50,465.83,8.33,258469.49,35346.20,23265.18,2670.75,3671.56,617.67
brall,5,NA,2,0.57,8281.70,359.00,1248.86,55.50,299.41,7.33,206212.54,30106.40,18355.44,3536.50,4244.35,621.00
brard,5,NA,4,30.37,9286.79,385.80,1337.08,61.25,194.14,9.00,220059.30,30475.40,14879.52,3006.50,1330.73,312.00
brein,5,NA,2,34.83,8153.75,301.00,1787.95,36.25,82.62,3.00,284526.76,40141.40,36728.95,5382.25,724.34,143.33
breld,5,NA,2,44.38,10530.91,352.80,2357.52,38.00,116.33,3.33,233388.38,32791.40,22543.68,2870.75,1023.75,196.00
brelth,6,NA,1,57.89,3931.16,427.50,497.44,46.00,86.34,4.50,272903.65,32232.33,41703.71,2713.20,909.72,147.00
brere,5,NA,1,0.00,11498.46,379.60,3111.86,48.25,1489.02,3.00,318935.15,43252.00,46063.44,6586.00,4538.30,411.00
brery,5,NA,1,0.48,8644.34,373.80,2275.48,48.25,252.71,4.67,230627.61,32370.40,33702.14,5000.00,1302.73,209.00
brille,6,NA,3,1.88,6909.50,588.50,1384.33,107.80,68.79,10.50,245999.09,36752.17,17368.63,3464.60,2366.19,372.25
brorse,6,NA,1,1.13,6333.50,522.50,838.78,65.60,188.56,6.25,276707.06,39494.67,20910.23,3123.00,1044.31,234.75
brout,5,NA,1,33.20,7864.84,316.80,1980.00,45.00,998.88,8.00,228484.56,27993.60,21024.30,2348.50,4040.11,361.00
bulld,5,NA,3,27.60,7110.82,349.40,1912.74,44.25,45.63,7.33,138140.04,21790.60,13155.62,1602.75,440.80,152.33
bumal,5,NA,0,0.00,4150.84,275.00,684.73,35.50,104.29,1.67,167749.48,23010.40,14632.76,2415.00,663.46,104.67
cackur,6,NA,0,0.00,5489.03,576.00,616.06,66.00,49.99,7.00,167833.35,25009.67,10480.36,1984.80,737.35,155.25
cader,5,NA,6,1.83,9738.12,507.20,2429.31,86.50,346.94,10.00,285803.70,37705.40,29472.22,5065.75,2151.83,461.33
cammed,6,NA,7,3.06,9798.07,1004.50,2491.32,257.80,218.10,22.50,231926.15,29776.67,18687.97,3120.40,1077.01,178.75
canghs,6,NA,0,0.00,6038.99,819.67,955.10,89.60,147.23,16.00,229597.07,30560.33,25367.04,3621.00,1402.10,208.75
carty,5,NA,5,95.16,7065.63,490.00,1169.29,65.00,430.01,9.33,242651.29,30231.80,16151.23,2668.75,2116.32,297.00
casted,6,NA,12,4.65,10657.76,1081.50,3089.96,311.40,537.73,53.75,307005.64,39710.00,31028.60,5469.80,3593.69,816.75
catape,6,NA,1,0.12,7064.61,629.00,808.44,61.60,25.69,3.00,312041.81,37386.33,19252.93,3610.00,679.73,278.25
cathet,6,NA,1,0.71,9412.67,914.50,1779.67,103.60,629.94,12.00,341464.50,36137.83,63623.78,3593.20,22424.76,445.75
catict,6,NA,0,0.00,7431.75,654.50,1221.72,78.20,82.61,10.25,284143.62,35329.17,24102.79,4865.80,3441.94,1176.75
cauld,5,NA,2,953.20,10206.81,422.80,3067.33,33.75,1666.85,4.00,190555.37,26704.60,10699.27,1644.25,2575.36,61.00
cavers,6,NA,9,2.79,7024.96,855.00,935.99,123.20,249.41,46.75,261244.06,37308.33,26161.25,4288.60,5658.46,974.00
cawaid,6,NA,0,0.00,6295.68,659.83,607.36,51.20,29.46,2.00,240726.44,30151.00,12429.98,1520.20,1179.04,50.25
caywet,6,NA,0,0.00,8061.04,843.67,708.25,64.80,0.00,0.00,263993.77,30035.50,10773.17,1456.60,25.72,8.50
cecked,6,NA,4,1.93,10294.37,967.17,2723.77,261.20,504.96,44.00,245566.67,33077.50,17524.37,2995.60,988.10,217.25
cectle,6,NA,0,0.00,8882.70,662.50,1564.99,76.80,352.44,11.25,306346.46,39962.67,14379.80,2485.60,1666.26,263.50
chaler,6,NA,5,0.17,8473.08,885.50,2251.30,209.40,189.98,22.75,279558.26,34848.33,36015.27,5200.40,1292.39,356.50
chank,5,NA,8,11.42,10162.40,321.40,1085.39,54.25,152.58,13.00,212195.70,24175.20,30838.76,2711.50,2543.83,362.67
charst,6,NA,0,0.00,4931.72,462.67,956.99,73.40,198.01,11.50,273656.52,34226.67,27274.63,3888.60,1935.61,310.50
cheal,5,NA,2,23.41,10282.30,280.20,3375.22,51.75,149.37,6.33,286889.92,33946.20,47860.22,3287.75,2432.02,445.67
chelil,6,NA,0,0.00,3862.26,402.83,466.73,44.20,35.32,5.25,254689.12,34264.33,37358.26,3161.60,1364.30,324.25
cherp,5,NA,3,14.34,10419.57,257.60,3788.30,37.25,1490.37,5.00,240821.21,30817.20,50340.25,4249.50,6568.91,540.67
chigin,6,NA,0,0.00,4066.35,426.67,643.60,53.40,33.82,7.75,223821.21,31231.50,28056.29,4022.40,1342.05,264.00
chigly,6,NA,2,2.74,5607.47,511.67,1213.47,82.00,15.45,7.75,166761.84,23087.17,14958.89,2105.20,922.39,223.50
chiks,5,NA,3,3.95,11469.00,557.60,2228.90,61.50,214.81,5.67,192326.56,27872.60,13005.25,1371.25,877.58,194.00
chion,5,NA,0,0.00,9938.70,286.20,2103.87,40.75,284.22,6.67,255322.76,31123.60,28021.58,3818.00,5832.55,1186.67
chitur,6,NA,0,0.00,5248.10,505.17,651.98,47.80,15.75,6.75,236627.16,29913.00,22013.86,2383.20,1965.00,332.75
choint,6,NA,0,0.00,7262.19,579.67,1801.74,115.00,91.93,7.75,278133.70,32306.67,30188.29,4566.00,2211.72,321.25
choron,6,NA,0,0.00,5138.48,434.83,1159.42,68.80,79.14,8.25,256202.29,29983.17,29022.28,3845.20,933.16,247.75
chost,5,NA,3,33.61,11443.61,309.40,1796.50,44.50,414.43,6.67,268076.97,31486.00,20277.60,3213.75,1809.07,216.33
choth,5,NA,1,47.30,9930.60,312.40,1407.12,47.75,53.58,7.33,264272.48,23791.40,45184.66,2047.00,2237.68,187.00
chould,6,NA,1,956.94,7873.99,572.83,1753.76,45.00,943.36,5.75,189804.47,22891.50,20650.07,2054.80,4582.28,146.75
chrked,6,NA,2,3.30,9513.93,922.67,2649.38,260.60,491.74,30.75,220513.15,27353.00,14929.22,2457.00,874.90,117.75
chrse,5,NA,4,13.86,12371.36,353.40,1922.66,42.25,83.71,4.00,277851.31,37745.80,15548.51,2495.00,692.99,114.33
chrsod,6,NA,0,0.00,6472.48,574.83,577.62,40.40,69.23,1.50,226251.53,29958.17,10687.06,1717.60,208.37,41.75
cigase,6,NA,0,0.00,5847.84,542.17,484.44,36.40,46.58,3.00,278812.01,40656.50,16185.34,2048.80,508.56,100.25
clail,5,NA,2,37.78,6914.87,329.60,1272.18,45.00,161.80,9.00,228784.90,34319.60,11595.21,2099.50,901.93,224.00
clair,5,NA,3,62.82,8302.82,344.60,1868.33,41.75,187.98,7.67,243356.99,36321.80,10647.05,1815.50,1044.36,216.00
clangh,6,NA,1,0.06,4205.35,402.00,855.47,58.60,123.82,10.50,213982.51,26973.33,25904.29,3787.40,1303.43,299.50
clare,5,NA,4,3.12,10556.37,407.40,2598.97,60.75,202.35,8.67,286529.04,39338.60,27305.69,4108.00,3373.28,293.33
clast,5,NA,5,55.26,8592.57,351.40,1577.24,54.75,394.50,11.33,264874.86,36590.40,21243.63,3411.25,1897.74,396.00
clats,5,NA,10,25.09,8586.97,625.60,1225.77,91.00,168.01,14.33,264874.86,36590.40,18408.63,3588.75,1240.94,419.33
clerds,6,NA,1,7.79,4815.56,669.50,356.52,53.20,33.99,7.75,246834.08,37810.33,21377.62,3890.40,858.57,253.75
clild,5,NA,1,435.73,10301.63,359.80,2590.94,39.75,194.64,3.67,185711.40,30179.40,12664.14,2199.25,735.29,86.00
clople,6,NA,0,0.00,7157.62,542.83,1721.72,85.40,804.65,11.00,229951.11,32389.67,11966.87,2275.40,1541.09,165.50
clwlde,6,NA,0,0.00,4782.67,425.50,336.82,23.20,0.00,0.00,206122.85,28486.67,7667.75,1158.20,139.32,36.25
cocays,6,NA,0,0.00,6026.51,760.83,902.17,60.20,174.46,7.50,213610.02,30064.83,10857.66,1923.00,606.48,104.25
codurs,6,NA,0,0.00,6683.07,773.67,897.90,94.80,11.26,5.25,205118.29,30972.17,12222.51,2276.40,746.57,82.50
coiny,5,NA,2,5.77,11277.65,478.80,2324.89,59.25,478.54,5.00,222331.58,30457.40,27141.59,4442.25,734.76,89.00
comple,6,NA,2,56.82,7769.04,618.83,1882.20,107.40,636.93,14.00,218731.06,29956.00,16330.71,2815.00,3119.14,382.75
conged,6,NA,7,2.06,9947.12,1025.50,2768.02,281.80,240.60,34.00,249699.32,32696.67,31461.23,5635.60,3143.09,584.25
contal,6,NA,1,0.12,5618.34,586.33,1144.62,89.20,116.22,11.00,278415.28,34047.33,28784.94,4717.40,3110.01,661.75
coowth,6,NA,0,0.00,5177.28,481.50,784.25,64.00,74.38,2.75,248683.99,24135.17,34481.10,1755.40,134.57,24.00
corece,6,NA,0,0.00,8111.73,684.83,1336.02,87.20,81.45,8.00,306979.46,40812.83,29446.00,3978.40,2286.62,373.75
corson,6,NA,1,1.84,6036.94,586.83,1218.59,89.40,258.38,12.25,259372.70,36395.33,26564.25,3938.60,1129.59,274.75
corths,6,NA,0,0.00,7261.00,854.17,855.39,84.00,128.09,17.00,263880.80,32798.17,39235.93,2409.20,1557.37,308.50
cosese,6,NA,0,0.00,7469.60,649.50,940.57,83.40,17.04,5.50,334965.21,47438.17,24526.66,4890.40,1898.10,344.00
cosing,6,NA,15,17.82,7280.37,657.50,2300.06,178.20,980.78,75.00,229941.62,35130.67,32381.20,5857.60,8400.88,1968.75
cotir,5,NA,0,0.00,9770.45,363.40,1703.49,35.75,0.63,1.00,276055.92,36382.40,19905.00,3823.50,438.88,112.00
cotted,6,NA,6,2.48,11074.36,1043.50,3521.15,305.40,611.26,51.00,318640.19,36173.50,23378.62,4341.60,2513.99,580.00
cougal,6,NA,1,0.12,4587.30,506.00,1116.99,81.40,249.08,8.00,198917.24,27057.67,20905.36,2774.20,2239.73,159.25
couls,5,NA,9,214.44,12447.10,644.40,4264.06,74.00,2333.53,7.00,198287.30,30928.00,19664.06,2570.00,3569.61,175.67
coult,5,NA,4,528.98,12017.14,398.80,4113.09,49.50,2372.75,6.67,223979.62,28398.40,19489.93,2454.00,3983.24,208.33
couly,5,NA,2,953.61,10719.42,440.00,4283.60,62.25,2341.20,5.33,161491.63,22567.20,22856.00,3195.50,3560.03,138.00
couner,6,NA,2,52.03,9217.46,954.50,2472.84,216.60,394.11,15.00,268095.75,36024.17,32857.24,5031.20,3003.88,345.00
coung,5,NA,3,179.23,9940.31,351.00,4241.91,61.25,1437.29,9.33,185680.37,26001.00,28055.57,4457.25,3493.46,319.67
couse,5,NA,11,64.02,12629.83,428.20,4038.70,63.50,1158.11,9.67,268536.64,37753.20,26699.73,3342.50,4170.15,672.00
covel,5,NA,7,19.98,10368.22,472.00,1662.88,59.00,277.59,11.00,234444.55,30879.60,18383.58,2687.25,2424.25,365.33
crair,5,NA,1,110.66,8810.11,364.60,1542.32,50.50,153.04,10.00,257929.09,38324.00,11297.44,2346.75,1208.26,298.00
crder,5,NA,3,91.48,9297.89,428.60,2407.97,76.00,424.76,5.00,258027.62,37200.60,24156.99,4424.00,1708.16,376.00
crean,5,NA,3,42.22,8122.83,314.60,1482.86,50.25,443.36,10.33,309864.78,41247.00,37877.65,4245.25,3343.20,390.00
